Question,Current Answer,Proposed revised question,Proposed revised answer for Quick answer ,potential tags,Suggested changes,Content captain,"Content type (accordion, other)",Comments,Source,Page Links,Revised (Y/N),Source,Metadata,SuggestedQuestions,IsContextOnly,Prompts,QnaId
Is the deadline for filing California tax returns extended?,"Yes. All California taxpayers (individuals and businesses) can file and pay by July 15, 2020.\n\nSee [information from the CA Franchise Tax Board](https://www.ftb.ca.gov/about-ftb/newsroom/news-releases/2020-3-state-postpones-tax-deadlines-until-july-15-due-to-the-covid-19-pandemic.html) for more information.",removed from page,Scrape this answer from content above accordions on this page,,,liz,other (not accordion),,,,,https://covid19.ca.gov/taxes/,,[],FALSE,[],83
Has the deadline for federal taxes changed?, ,no change,no change,,,liz,,,,,,https://covid19.ca.gov/taxes/,,[],FALSE,[],84
What about county property taxes? Has that deadline changed?,"Penalties for property taxes paid after April 10 are waived through May 6, 2021 for taxpayers experiencing financial hardship due to the COVID-19 pandemic. This applies to residential properties and small businesses that meet certain criteria. Contact your county for details.",removed from page,Scrape this answer from content above accordions on this page,,,liz,other (not accordion),,,,,https://covid19.ca.gov/taxes/,,[],FALSE,[],85
What about business personal property tax statements?,"Businesses have until May 31, 2020 to file Business Personal Property Tax Statements to avoid penalties.",removed from page,Scrape this answer from content above accordions on this page,"business, personal, property, tax, statement, deadline, penalty, avoid, due, file",,liz,other (not accordion),,,,,https://covid19.ca.gov/taxes/,,[],FALSE,[],86
Are there any tax deductions for people affected by the COVID-19 outbreak?,"No. Check with the [U.S. Internal Revenue Service](https://www.irs.gov/coronavirus), the [California Franchise Tax Board](https://www.ftb.ca.gov/), and your local government for updates.",no change,no change,,,liz,,,,,,https://covid19.ca.gov/taxes/,,[],FALSE,[],87
What’s open?,"Essential services that protect public health, public safety, and provide essential needs will remain open, such as:\n\n*   Gas stations \n\n*   Pharmacies\n\n*   Food: Grocery stores, farmers markets, food banks, convenience stores, take-out and delivery restaurants \n\n*   Banks \n\n*   Laundromats/laundry services \n\n*   Essential state and local government functions will also remain open, including law enforcement and offices that provide government programs and services.\n\nBusinesses in a number of other sectors can now also open, with necessary modifications.\n\n**Retail**\n\nRetailers can re-open statewide. \n\nShopping malls, and libraries can re-open for delivery or curbside pickup, along with the manufacturing and logistics sectors that support retail. Drive-in movie theaters can re-open with additional considerations. Retail does not include personal services such as beauty salons but does include the sale of goods, such as:\n\n*   Bookstores\n\n*   Jewelry stores\n\n*   Toy stores\n\n*   Clothing and shoe stores\n\n*   Home and furnishing stores\n\n*   Sporting goods stores\n\n*   Florists\n\n**Offices** (in all sectors, not only critical infrastructure)\n\n**Limited Services** which do not generally require close customer contact, such as: \n\n*   Pet grooming\n\n*   Dog walking\n\n*   Car washes\n\n*   Appliance repair\n\n*   Residential and janitorial cleaning\n\n*   Plumbing\n\n**Outdoor Museums**",,,,,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],88
What’s closed?,*   Dine-in restaurants \n\n*   Bars and nightclubs \n\n*   Entertainment venues \n\n*   Gyms and fitness studios \n\n*   Public events and gatherings \n\n*   Convention centers\n\n*   Nail salons,,,,,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],89
Is it safe to shop at these businesses?,The risk of COVID-19 infection is still real for all Californians and continues to be fatal. That is why every business permitted to open should take every step humanly possible to reduce the risk of infection by following these [state guidelines](https://covid19.ca.gov/roadmap/).,Is it safe to shop at businesses that are open?,,,,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],90
Can the Order be changed?,Yes. The State Public Health Officer may issue new orders as the public health situation changes.,Can the stay home order be changed?,,,,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],91
How does this order interact with local orders to shelter in place? Does it supersede them?,This is a statewide order. Counties may open additional Stage 2 sectors more quickly if they meet certain criteria.,How does the Stay Home Order interact with local orders? Does it override them?,,,,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],92
"If I am not an Essential Critical Infrastructure Worker, can I still leave the house?","Yes. As described in more detail elsewhere in applicable state public health directives (including on this page), there are a wide range of circumstances in which you may leave your home or other place of residence, even if you are not an Essential Critical Infrastructure Worker.For example, you may leave your home to work at any business or other entity that is allowed to open, to patronize local businesses, or to care for friends or family members who require assistance (as set forth below).And errands like these are not the only reasons you may leave your home: you may also leave your home with or without a specific destination in mind (for example, to walk your dog, to engage in physical recreation, or simply to get some fresh air) as long as you maintain physical distancing and **do not gather with any number of people who are not members of your household.**\n\n### Protected activities",Can I leave my house if I am not an essential worker or if my job industry has not reopened?,,,,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],93
Can I engage in political protest?,"Yes, as explained below, although in-person protests present special public health concerns. \n\nEven with adherence to physical distancing, bringing members of different households together to engage in in-person protest carries a higher risk of widespread transmission of COVID-19.  Such gatherings may result in increased rates of infection, hospitalization, and death, especially among more vulnerable populations. In particular, activities like chanting, shouting, singing, and group recitation negate the risk-reduction achieved through six feet of physical distancing. For this reason, people engaging in these activities should wear face coverings at all times. \n\nTherefore, it is strongly recommended that those exercising their right to engage in political expression (including, for example, their right to petition the government) should utilize alternative channels, such as the many online and broadcasting platforms available in the digital age, in place of in-person gatherings. \n\nHowever, state public health directives do not prohibit in-person protests as long as (1)  attendance is limited to 25% of the relevant area’s maximum occupancy, as defined by the relevant local permitting authority or other relevant authority, or a maximum of 100 attendees, whichever is lower, and (2) physical distancing of six feet between persons or groups of persons from different households is maintained at all times. Failure to maintain adequate physical distancing may result in an order to disperse or other enforcement action. Face coverings are strongly recommended.\n\nParticipants must maintain a physical distance of six feet from any uniformed peace officers and other public safety personnel present, unless otherwise directed, and follow all other requirements and directives imposed by local health officers and law enforcement, or other applicable authorities.\n\nThis limitation on attendance will be reviewed at least once every 21 days, beginning May 25, 2020. This review will assess the impacts of these imposed limits on public health and provide further direction as part of a phased-in restoration of gatherings that implicate the First Amendment.",,,,,Kayla,,,,,,https://covid19.ca.gov/stay-home-except-for-essential-needs/,,[],FALSE,[],94
