"Question","Answer","Source","Metadata","SuggestedQuestions","IsContextOnly","Prompts","QnaId"
"What are the symptoms of COVID-19?","#### **[**Coronavirus symptoms**](https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html) **include, but are not limited to:****\n\n*   Fever or chills\n*   Cough\n*   Shortness of breath or difficulty breathing\n*   Fatigue\n*   Muscle or body aches\n*   Headache\n*   New loss of taste or smell\n*   Sore throat\n*   Congestion or runny nose\n*   Nausea or vomiting\n*   Diarrhea\n\nMore info: [Symptoms and risks](https://covid19.ca.gov/symptoms-and-risks/)","https://covid19.ca.gov/symptoms-and-risks/"," ","[]","false","[]","1"
"Is there a COVID-19 symptoms self-checker?","You can check your symptoms using the [Symptom Screener](https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fsymptoms-testing%2Findex.html) or by contacting your doctor through [telehealth](https://covid19.ca.gov/telehealth/).\n\nMore info: [Symptoms and risks](https://covid19.ca.gov/symptoms-and-risks/)","https://covid19.ca.gov/symptoms-and-risks/"," ","[]","false","[]","2"
"Who are high risk people for COVID-19?","#### ****Some people are at higher risk to get very sick from COVID-19, including:****\n\n*   people over 65 years old\n*   people with compromised immune systems\n*   Individuals who have serious chronic medical conditions like:\n    *   Heart disease\n    *   Diabetes\n    *   Lung disease\n*   [Smokers](https://www.nejm.org/doi/full/10.1056/NEJMoa2002032)\n\nMore info: [Symptoms and risks](https://covid19.ca.gov/symptoms-and-risks/)","https://covid19.ca.gov/symptoms-and-risks/"," ","[]","false","[]","3"
"What people at higher risk, over 65 or compromised immune systems, should do?","If you are at higher risk, you should take extra precautions to protect yourself: \n\n*   **Stay home.** It’s the most important thing you can do.\n*   **Avoid contact with people who are sick.** Isolate anyone sick in your home in a separate room, if possible.\n*   **Get food brought to your house** through family, social, or commercial networks. Wipe off containers with disinfectant wipes.\n*   **Listen to public health officials.** They may recommend community actions to reduce exposure in times of local outbreak.\n\nMore info: [Symptoms and risks](https://covid19.ca.gov/symptoms-and-risks/)","https://covid19.ca.gov/symptoms-and-risks/"," ","[]","false","[]","4"
"Has the deadline for federal taxes changed?",,"https://covid19.ca.gov/taxes/","","[]","FALSE","[]","84"
"Are there any tax deductions for people affected by the COVID-19 outbreak?",,"https://covid19.ca.gov/taxes/","","[]","FALSE","[]","87"
"What’s open statewide?","**Essential services** that protect public health, public safety, and provide essential needs will remain open, such as:\n\n*   Gas stations \n*   Pharmacies\n*   Food: Grocery stores, farmers markets, food banks, convenience stores, take-out and delivery restaurants \n*   Banks \n*   Laundromats/laundry services \n*   Childcare\n*   Essential state and local government functions will also remain open, including law enforcement and offices that provide government programs and services.\n\n**Retailers** can open statewide. All will require modifications to support social distancing. This includes:\n\n*   Shopping malls\n*   Libraries\n*   Movie theaters and drive-in theaters (with modifications)\n*   Bookstores\n*   Jewelry stores\n*   Toy stores\n*   Clothing and shoe stores\n*   Home and furnishing stores\n*   Sporting goods stores\n*   Florists\n\n**Offices** (in all sectors, not only critical infrastructure)\n\n**Limited services** which do not generally require close customer contact, such as: \n\n*   Pet grooming\n*   Dog walking\n*   Car washes\n*   Appliance repair\n*   Residential and janitorial cleaning\n*   Places of worship\n*   Plumbing\n\n**Outdoor museums**\n\n**Music, film, and TV production**\n\n**Professional sports (without live audiences)**\n\n**Schools and day camps**\n\nMore info: [Stay home Q&A](https://covid19.ca.gov/stay-home-except-for-essential-needs/)","https://covid19.ca.gov/stay-home-except-for-essential-needs/"," ","[]","false","[]","7"
"What’s closed statewide?","Statewide, the following are still closed:\n\n*   Personal services, like nail salons, body waxing and tattoo parlors\n*   Public events and gatherings, like live audience sports \n*   Convention centers\n*   Theme parks and festivals\n*   Higher education (in person)\n*   Indoor playgrounds, like bounce centers, ball pits and laser tag\n*   Saunas and steam rooms\n\nMore info: [Stay home Q&A](https://covid19.ca.gov/stay-home-except-for-essential-needs/)","https://covid19.ca.gov/stay-home-except-for-essential-needs/"," ","[]","false","[]","8"
"What is open with county variance?","The following may open only in [counties approved to move further in the Resilience Roadmap](https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/County_Variance_Attestation_Form.aspx):\n\n*   Dine-in restaurants\n*   Hair salons and barber shops\n*   Casinos\n\nCounties that are approved to progress further into the Resilience Roadmap can decide to open the following industries but are strongly encouraged to wait until June 12, 2020:\n\n*   Family entertainment centers\n*   Restaurants, wineries and bars\n*   Zoos and museums\n*   Gyms and fitness centers\n*   Hotels (for tourism and individual travel)\n*   Cardrooms and racetracks\n*   Campgrounds and outdoor recreation\n\nCounties that are approved to progress further into the Resilience Roadmap can decide to open the following industries but are strongly encouraged to wait until June 19, 2020:\n\n*   Personal services, like nail salons, body waxing and tattoo parlors\n\nMore info: [Stay home Q&A](https://covid19.ca.gov/stay-home-except-for-essential-needs/)","https://covid19.ca.gov/stay-home-except-for-essential-needs/"," ","[]","false","[]","9"
"Is it safe to shop at open businesses?","The risk of COVID-19 infection is still real for all Californians and continues to be fatal. That is why every business permitted to open should take every step humanly possible to reduce the risk of infection by following these [state guidelines](https://covid19.ca.gov/roadmap/).\n\nMore info: [Stay home Q&A](https://covid19.ca.gov/stay-home-except-for-essential-needs/)","https://covid19.ca.gov/stay-home-except-for-essential-needs/"," ","[]","false","[]","10"
