Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts
Can I get a free coronavirus test?	Yes, if you qualify. More info \n\n[Testing and treatment](https://covid19.ca.gov/testing-and-treatment/)	Editorial		[]	false	[]
What coronavirus/COVID-19 symptoms require immediate medical attention?	Seek emergency medical attention if you have any of the following warning signs:\n* Trouble breathing\n* Persistent pain or pressure in the chest\n* New confusion or inability to awaken\n* Bluish lips or face\n\n[Testing and treatment](https://covid19.ca.gov/testing-and-treatment/)	Editorial		[]	false	[]
Is there a convalescent blood plasma donation center near me?	Please see [Donating blood plasma page](https://covid19.ca.gov/plasma/)	Editorial		[]	false	[]
Can a foreign medical graduate without California license work as doctor for the California Health Corps?	No. Please see California Health Corps page under Step 1, a valid California license is required for clinical practice (if you are a MD, DO, etc.)\n\n[California Health Corps](https://covid19.ca.gov/healthcorps/)	Editorial		[]	false	[]
Can a doctor without California license work under the California Health Corps?	No. Please see California Health Corps page under Step 1, a valid California license is required for clinical practice (if you are a MD, DO, etc.). However, medical resident are permitted to participate in the California Health Corps.\n\n[California Health Corps](https://covid19.ca.gov/healthcorps/)	Editorial		[]	false	[]
Are pools open? Can I go swimming?	Community centers, including public pools, playgrounds, and picnic areas, are not permitted to operate in the State of California at this time.	Editorial		[]	false	[]
Can I go camping?	All California State Park campgrounds are closed to help slow the spread of COVID-19. Check the [California State Park's website](https://www.parks.ca.gov/?page_id=30350) before leaving your home to find what parks are open and new visitor guidelines. Information about open outdoor areas can be found on the [public recreation page](https://covid19.ca.gov/public-recreation/).	Editorial		[]	false	[]
Where can I apply for unemployment?	If you lost your job or had your hours reduced, and meet eligibility requirements, you may be eligible to receive Unemployment Insurance (UI) benefits from California’s Employment Development Department (EDD). Check the [guide to applying for unemployment benefits](https://unemployment.edd.ca.gov/guide).	Editorial		[]	false	[]
Can I get my smog checked?	The [Bureau of Automotive Repair](https://www.bar.ca.gov/COVID-19_Impacts_on_BAR_Programs_and_Services.aspx) advises drivers to still pay DMV vehicle registration fees to avoid any late fees. However, you will not receive your new registration or year sticker until the smog information has been received by DMV. Once state and local orders or directives are no longer in effect, consumers can then obtain the required smog check certificate to complete the DMV vehicle registration process.	Editorial		[]	false	[]
Can I go to the movies? Are movie theaters open?	Yes, movie theaters and drive-in movie theaters can open statewide with modifications to support physical distancing.	Editorial		[]	false	[]
What if I don’t have health insurance? What are my options?	If you don’t have insurance, call “Medi-Nurse,” a 24/7 nurse advice line available at 1-877-409-9052. You can speak directly with a health professional about your symptoms, and get advice for further treatment in your area. See [Telehealth](https://covid19.ca.gov/telehealth/) for more information.	Editorial		[]	false	[]
