Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Board of State and Community Corrections	*   [COVID-19 updates by division](http://www.bscc.ca.gov/covid-19-information-and-updates/) contains information about COVID-19 and developments that impact the agency’s duties and operations.\n*   [Adult facility status due to COVID-19](http://www.bscc.ca.gov/adult-facility-status-due-to-covid-19/) has information about facility status for adults and regulations for operations due to COVID-19. \n*   [Adult suspension of standards dashboard](https://app.smartsheet.com/b/publish?EQBCT=05cbaea0a5fd4e90baf0654ecdacfe1a) provides facility status by county of emergency suspension of standards due to COVID-19.\n*   [Juvenile facility status due to COVID-19](http://www.bscc.ca.gov/juvenile-facility-status-due-to-covid-19/) has information regarding facility status for juveniles and regulations for operations due to COVID-19.\n*   [Juvenile suspension of standards dashboard](https://app.smartsheet.com/b/publish?EQBCT=ba9b83f39b4a46dd9ea8d8a889c56039) provides facility status by county of emergency suspension of standards due to COVID-19.\n*   [Juvenile facility intake and release practices](https://app.smartsheet.com/b/publish?EQBCT=c65e92c7e0ae461b947138a1b263e2f4) documents changes in juvenile intake and release policies and practices to and from juvenile detention facilities for each county probation department.\n*   [Adult supplement jail profile survey](https://app.smartsheet.com/b/publish?EQBCT=82b29a92ea9a4a0ea7aa480f1287e137) collects county-level population, booking, and release data on a weekly basis from counties with adult local detention facilities to track coronavirus-related impacts in local detention systems.\n*   [Juvenile supplemental detention profile survey](https://app.smartsheet.com/b/publish?EQBCT=e61336ff506a4ca8810eccc0a6909a32) collects county-level population, booking, and release data on a weekly basis from counties with juvenile local detention facilities to track coronavirus-related impacts in local detention systems.\n*   [COVID-19 data dashboard](http://www.bscc.ca.gov/covid-19-data-dashboard-landing-page/) provides data summarizing the impact in local detention facilities.\n*   [COVID-19 cases in local detention facilities](https://public.tableau.com/profile/kstevens#!/vizhome/BSCCCOVID-19inDetentionFacilitiesDashboard/Instructions) provides COVID-19-related data from counties with local adult and/or juvenile detention facilities. Data is collected weekly at the facility level (unless specified) and updated on Friday with data from the prior reporting week. This includes:\n    *   Number in the facility\n    *   Number tested\n    *   Confirmed positive cases\n    *   Confirmed cases at intake (optional)\n    *   Confirmed cases in first 14 days (optional)\n    *   Confirmed cases in custody (optional)\n    *   Estimated resolved cases\n    *   Hospitalized, deaths, and additional information (optional)\n*   Data is also collected for staff who work in these facilities, including:\n    *   Staff tested\n    *   Staff confirmed positive cases\n    *   Staff resolved cases\n    *   Additional information (optional)\n\nMore info: [State agency response](https://covid19.ca.gov/agency-response/)	https://covid19.ca.gov/agency-response/	 	[]	false	[]	1
California Health and Human Services Agency	*   The [California Department of Aging’s COVID-19 information and resource](https://www.aging.ca.gov/covid19/) is designed for a variety of audiences, including older adults and people with disabilities, caregivers, and service providers.\n*   The [Department of State Hospitals’ (DSH) COVID-19 information](https://www.dsh.ca.gov/COVID-19/index.html)  details how they’re protecting patients and employees from COVID-19.\n*   [DSH Protocols and Workflows](https://www.dsh.ca.gov/COVID-19/Protocols_and_Workflow.html) lists steps being followed in DSH facilities during the COVID-19 pandemic. These documents are adjusted frequently based upon recommended changes from federal and state public health authorities.\n*   The [Department of Developmental Services coronavirus information and resources](https://www.dds.ca.gov/corona-virus-information-and-resources/) has general information about COVID-19 and resources.\n*   The [Department of Social Services coronavirus disease (COVID-19) information](https://www.cdss.ca.gov/) collects COVID-related resources like California’s contact tracing efforts and testing site information for in-home supportive service recipients and providers.\n*   The [Office of Statewide Health Planning & Development’s Facility Development Division COVID-19 resources](https://oshpd.ca.gov/construction-finance/oshpd-covid-19-resources/#surgetents) has guidance on temporary COVID-19 modifications, maps, and emergency operation logs.\n\nMore info: [State agency response](https://covid19.ca.gov/agency-response/)	https://covid19.ca.gov/agency-response/	 	[]	false	[]	2
مجلس إصلاحيات الولاية والمجتمعات المحلية	*   إن[تحديثات كوفيد-19 بحسب القسم/الشعبة](http://www.bscc.ca.gov/covid-19-information-and-updates/) تحوي معلومات حول كوفيد-19 وتطوراته التي تؤثر على مسئوليات الوكالة وعملياتها.\n*   لدى [حالة مرافق العناية بالبالغين المتأثرين بكوفيد-19](http://www.bscc.ca.gov/adult-facility-status-due-to-covid-19/) معلومات حول حالة المرفق للعناية بالبالغين ولوائح العمليات التي أوجدها فيروس كوفيد-19. \n*   [الرفع المؤقت للبالغين من لوحة المعايير](https://app.smartsheet.com/b/publish?EQBCT=05cbaea0a5fd4e90baf0654ecdacfe1a) يعرفنا بحالة المرفق بحسب المقاطعة التعليق الطارئ للمعايير بسبب كوفيد-19.\n*   لدى [حالة دار رعاية الأحداث المتأثرين بكوفيد-19](http://www.bscc.ca.gov/juvenile-facility-status-due-to-covid-19/) معلومات تتعلق بحالة دار رعاية الأحداث ولوائح العمليات التي أوجدها فيروس كوفيد-19.\n*   [الرفع المؤقت للأحداث من لوحة المعايير](https://app.smartsheet.com/b/publish?EQBCT=ba9b83f39b4a46dd9ea8d8a889c56039) يعرفنا بحالة المرفق بحسب المقاطعة التعليق الطارئ للمعايير بسبب كوفيد-19.\n*   إن[ممارسات الاستقبال والإفراج داخل منشآت رعاية الأحداث](https://app.smartsheet.com/b/publish?EQBCT=c65e92c7e0ae461b947138a1b263e2f4) توثق التغييرات في سياسات وممارسات استقبال الأحداث وإطلاق سراحهم في ومن مرافق احتجاز الأحداث لكل دائرة من دوائر مراقبة حُسن سلوك الأحداث بالمقاطعة.\n*   يقوم[الفحص الشامل للملف التعريفي للسجن التكميلي للبالغين](https://app.smartsheet.com/b/publish?EQBCT=82b29a92ea9a4a0ea7aa480f1287e137) بجمع بيانات السكان على مستوى المقاطعة وبيانات الحجز والإفراج أسبوعيًا من المقاطعات التي بها مرافق احتجاز محلية للبالغين وذلك بغرض تتبع الآثار المرتبطة بفيروس كورونا في أنظمة الاحتجاز المحلية.\n*   يقوم[الفحص الشامل للملف التعريفي لأماكن الحجز التكميلية للأحداث](https://app.smartsheet.com/b/publish?EQBCT=e61336ff506a4ca8810eccc0a6909a32) بجمع بيانات السكان على مستوى المقاطعة وبيانات الحجز والإفراج أسبوعيًا من المقاطعات التي بها مرافق احتجاز محلية للأحداث وذلك بغرض تتبع الآثار المرتبطة بفيروس كورونا في أنظمة الاحتجاز المحلية.\n*   إن[لوحات البيانات كوفيد-19](http://www.bscc.ca.gov/covid-19-data-dashboard-landing-page/) توفر بيانات تلخص الآثار الموجودة بمرافق الاحتجاز المحلية.\n*   إن[حالات كوفيد-19 في مرافق الاحتجاز المحلية](https://public.tableau.com/profile/kstevens#!/vizhome/BSCCCOVID-19inDetentionFacilitiesDashboard/Instructions) توفر بيانات متعلقة بكوفيد-19 من المقاطعات التي بها مرافق محلية لاحتجاز البالغين و/أو الأحداث. يتم جمع البيانات أسبوعيًا على مستوى المنشأة (ما لم يتم تحديد ذلك) وتحديثها يوم الجمعة ببيانات من أسبوع التقارير السابق. يتضمن هذا:\n    *   الرقم في المنشأة\n    *   الرقم الذي تم فحصه\n    *   الحالات الإيجابية المؤكدة\n    *   الحالات المؤكد استقبالها (اختياري)\n    *   الحالات المؤكدة في أول 14 يومًا (اختياري)\n    *   الحالات المؤكد احتجازها (اختياري)\n    *   تقدير الحالات التي تم البت فيها\n    *   المحتجزون بالمستشفيات والوفيات ومعلومات إضافية (اختياري)\n*   يتم أيضًا جمع بيانات الموظفين الذين يعملون في هذه المرافق، والتي منها:\n    *   الذين تم فحصهم من الموظفين\n    *   الحالات الإيجابية المؤكدة إصابتهم من الموظفين\n    *   الحالات التي تم البت فيها من الموظفين\n    *   المعلومات الإضافية (اختياري)\n\nMore info: [استجابة وكالات الولاية](https://covid19.ca.gov/ar/agency-response/)	https://covid19.ca.gov/ar/agency-response/	 	[]	false	[]	3
وكالة الخدمات الإنسانية والصحية في ولاية كاليفورنيا	*   إن[معلومات وموارد كوفيد-19 المقدمة من إدارة كاليفورنيا لشؤون المسنين](https://www.aging.ca.gov/covid19/) صُممت لمجموعة متنوعة من الجماهير، بما في ذلك كبار السن وذوي الإعاقة ومزودي الرعاية ومقدمي الخدمات.\n*   إن [معلومات كوفيد-19 المقدمة من إدارة مستشفيات الولاية (DSH)](https://www.dsh.ca.gov/COVID-19/index.html)   توضح كيف يقومون بحماية المرضى والموظفين من كوفيد-19.\n*   تسرد[بروتوكولات إدارة مستشفيات الولاية وخططها لسير العمل (DSH)](https://www.dsh.ca.gov/COVID-19/Protocols_and_Workflow.html) الخطوات المتبعة داخل مرافق DSH أثناء جائحة كوفيد-19. يتم تعديل هذه الوثائق بشكل متكرر بناءً على التغييرات التي توصي بها سلطات الصحة العامة بالولاية والحكومة الفيدرالية.\n*   إن[معلومات وموارد فيروس كورونا المقدمة من إدارة الخدمات التنموية](https://www.dds.ca.gov/corona-virus-information-and-resources/) تقدم معلومات عامة حول كوفيد-19 وموارده.\n*   إن[معلومات فيروس كورونا (كوفيد-19) المقدمة من إدارة الخدمات الاجتماعية](https://www.cdss.ca.gov/) تجمع الموارد المتعلقة بـكوفيد مثل جهود تتبع المخالطين في كاليفورنيا ومعلومات موقع إجراء الاختبار لتكون متاحة لمتلقي ومقدمي خدمات الدعم المنزلي.\n*   إن [موارد كوفيد-19 المقدمة من قسم تطوير المرافق التابع لمكتب التخطيط والتنمية الصحية على مستوى الولاية](https://oshpd.ca.gov/construction-finance/oshpd-covid-19-resources/#surgetents) يقدم إرشادات حول تعديلات كوفيد-19 المؤقتة والخرائط وسجلات عمليات الطوارئ.\n\nMore info: [استجابة وكالات الولاية](https://covid19.ca.gov/ar/agency-response/)	https://covid19.ca.gov/ar/agency-response/	 	[]	false	[]	4
هل يمكنني طلب إعفاء من القروض إذا قبلت قرض برنامج حماية الرواتب؟	ويمكن للشركات التي تلقت أموالاً من برنامج حماية الرواتب (PPP) أنْ تَتقدم بطلبٍ للإعفاء من القروض. [تعليمات طلب الإعفاء من تسديد القروض](https://www.sba.gov/funding-programs/loans/coronavirus-relief-options/paycheck-protection-program/ppp-loan-forgiveness#section-header-4) متوفرة على الموقع الإلكتروني لإدارة الأعمال التجارية الصغيرة. يمكنك أيضًا الاتصال بمقرض قروض حماية الرواتب (PPP) الخاص بك.\n\nMore info: [الشركات التجارية وأصحاب العمل](https://covid19.ca.gov/ar/business-and-employers/)	https://covid19.ca.gov/ar/business-and-employers/	 	[]	false	[]	5
ما هي الأعمال التجارية المستثناة من الحصول على منحة الإغاثة للأعمال التجارية الصغيرة ؟	تتضمن الأعمال التجارية غير المؤهلة الأعمال التجارية العقارية السلبية (دخل الإيجار، إلخ).\n\nMore info: [الشركات التجارية وأصحاب العمل](https://covid19.ca.gov/ar/business-and-employers/)	https://covid19.ca.gov/ar/business-and-employers/	 	[]	false	[]	6
هل يمكنني أن أتقدم بطلب للحصول على ضمان القروض للأعمال التجارية الصغيرة في حالات الكوارث إذا كنت مؤهلًا للحصول على تمويل حالات الكوارث الفيدرالي مثل قروض إدارة الأعمال الصغيرة (SBA)؟	نعم، هذا البرنامج مخصص لأولئك الذي ليسو مؤهلين للبرامج الفيدرالية. \n\nMore info: [الشركات التجارية وأصحاب العمل](https://covid19.ca.gov/ar/business-and-employers/)	https://covid19.ca.gov/ar/business-and-employers/	 	[]	false	[]	7
كيف يمكنني التقدم بطلب للحصول على ضمان القروض للأعمال التجارية الصغيرة في حالات الكوارث؟	يتشارك [مركز تمويل الأعمال التجارية الصغيرة](https://www.ibank.ca.gov/small-business/disaster-relief/) مع المؤسسات المالية لتنمية المجتمعات ومؤسسات الإقراض المجتمعية ومؤسسات التنمية المالية (FDCs) لتوفير الضمانات للأعمال التجارية الصغيرة.  لتقديم طلب،\n\n*   راجع [قائمة المقرضين المشاركين](https://www.ibank.ca.gov/small-business/participating-lenders/) المهتمين ببرنامج ضمان قروض الكوارث للأعمال التجارية الصغيرة هذا. \n*   اتصل مع المقرض الموجود على القائمة والأقرب من مكان عملك التجاري للتقديم.\n\nMore info: [الشركات التجارية وأصحاب العمل](https://covid19.ca.gov/ar/business-and-employers/)	https://covid19.ca.gov/ar/business-and-employers/	 	[]	false	[]	8
كيف سيساعد هذا البرنامج المجتمعات الأقل ثراءً والأقليات؟	من خلال العمل مع المؤسسات المالية لتنمية المجتمعات (CDFI) في كافة أنحاء ولاية كاليفورنيا، فإن برنامج الإغاثة في حالات الكوارث هذا يمكن أن يلعب دوراً مهماً في خلق نمو اقتصادي وفرصاً في بعض أكثر مجتمعاتنا تضرراً. يلعب كل من CDFI والمقرضين ذوي المهام المحددة دوراً حيوياً في كافة أنحاء الولاية ولديهما الخبرة في توجيه الإقراض والاستثمار حيث تتواجد الحاجة إليه وحيث سيكون له التأثير الأكبر وخصوصاً المجتمعات الأقل ثراءاً ومجتمعات المهاجرين. إن CDFI وشركاءنا من مؤسسات التنمية المالية (FDCs) التي تقوم بإعداد ضمانات القروض مندمجة داخل المجتمعات في جميع أنحاء الولاية وتتحدث عدة لغات، وهي تمثل استثمارات ناجحة في المجتمعات من حيث إدارة طريقها خلال هذه الجائحة.\n\nMore info: [الشركات التجارية وأصحاب العمل](https://covid19.ca.gov/ar/business-and-employers/)	https://covid19.ca.gov/ar/business-and-employers/	 	[]	false	[]	9
هل الأعمال التجارية القائمة على المعتقدات الدينية مؤهلة للحصول على برنامج ضمان القروض هذا؟	تكون الأعمال التجارية القائمة على المعتقدات الدينية (غير الربحية أو خلاف ذلك) التي يكون لها نشاط تجاري خارج نطاق العبادات مؤهلة بشرط أن تكون عملًا تجاريَّا قانونيًّا تأثر بجائحة كوفيد-19.\n\nMore info: [الشركات التجارية وأصحاب العمل](https://covid19.ca.gov/ar/business-and-employers/)	https://covid19.ca.gov/ar/business-and-employers/	 	[]	false	[]	10
