Question	Answer	Source
What do taxpayers need to do if they want to take advantage of relief from the California Department of Tax and Fee Administration?	Interested taxpayers should contact CDTFA by visiting the [CDTFA website](http://cdtfa.ca.gov/) or calling [800-400-7115](tel:800-400-7115).\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
When will taxpayers start on these payment plans?	Given that the April deadline to file and pay sales and use tax returns has been extended to late July for all but the largest taxpayers, CDTFA expects that most participating taxpayers will begin their payment arrangements in late July of this year.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
How will the payment plans work?	Qualifying sales and use taxpayers with deferred liabilities up to $50,000 will pay their tax due in 12 equal monthly installments. No interest or penalties will be assessed against the liability.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
Is this only for tax payments due for the 1st quarter of 2020?	If taxpayers choose to use this program to distribute the burden of their May or June prepayments or their July return, CDTFA will work to accommodate those taxpayers.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
What if taxpayers owe more than the $50,000 limit on the relief?	The maximum amount that any taxpayer can defer interest-free under this relief effort is $50,000.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
What if taxpayers with more than $5 million in annual taxable sales need this relief?	We recognize that some taxpayers, particularly in low margin businesses, with annual taxable sales over $5 million may also need this relief. Those taxpayers are encouraged to reach out to CDTFA, which will work with them to provide relief where appropriate.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
Is the deadline for filing California tax returns extended?	Yes. All California taxpayers (individuals and businesses) can file and pay by July 15, 2020. See [information from the CA Franchise Tax Board](https://www.ftb.ca.gov/about-ftb/newsroom/news-releases/2020-3-state-postpones-tax-deadlines-until-july-15-due-to-the-covid-19-pandemic.html) for more information.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
What is a loan guarantee?	A loan guarantee is a credit enhancement that helps mitigate the risk assumed by a lending institution when making a loan. With the Small Business Finance Center’s Disaster Relief Loan Guarantee Program, IBank agrees to guarantee up to 95% of the loan, removing the barriers to capital that often exist for small business borrowers that may not otherwise be eligible for traditional lending. This program also can assist those who may not be eligible for a U.S. Small Business Administration (SBA) loan.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
Who is eligible to apply for a loan guarantee?	Small business entities that have been affected by loss, damage or other economic injury due to the COVID-19 pandemic and meet the program’s eligibility requirements. \n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
What do you consider a small business?	The business must have between 1-750 employees and be established as an entity, including:\n\n*   Sole Proprietor – Individual using legal name as business name that files a Schedule C, Schedule F, or has a fictitious business name or DBA statement\n    *   If the loan appears to be in the name of an individual, evidence of Sole Proprietorship will be required and may include a Schedule C, Schedule F, Seller’s Permit, and/or fictitious business name or DBA statement\n*   Limited Liability Company \n*   Cooperative\n*   Corporation\n*   Partnership\n*   S-Corporation\n*   Not-for-profit\n\nThe program will not accept an _individual_ as the borrower. It is permissible for an individual to be a guarantor or co-borrower on the loan, but the primary borrower must be a small business. It does not consider citizenship or immigration status for eligibility requirements**,** as long as the entity/individual meets the above criteria. Trucking owners/operators are eligible as long as they are registered as a legal business entity.\n\n**AND**\n\n*   The business activity must be eligible under the program and in one of the industries listed in the [North American Industry Classification System (NAICS) codes list](http://www.census.gov/eos/www/naics), and\n*   It must be located in a declared disaster area. A major disaster area declaration was made for the state of California on March 22, 2020 in regards to the COVID-19 pandemic.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/
