Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
What is a loan guarantee?	A loan guarantee is a credit enhancement that helps mitigate the risk assumed by a lending institution when making a loan. With the Small Business Finance Center’s Disaster Relief Loan Guarantee Program, IBank agrees to guarantee up to 95% of the loan, removing the barriers to capital that often exist for small business borrowers that may not otherwise be eligible for traditional lending. This program also can assist those who may not be eligible for a U.S. Small Business Administration (SBA) loan.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/	 	[]	false	[]	1
Who is eligible to apply for a loan guarantee?	Small business entities that have been affected by loss, damage or other economic injury due to the COVID-19 pandemic and meet the program’s eligibility requirements. \n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/	 	[]	false	[]	2
What do you consider a small business?	The business must have between 1-750 employees and be established as an entity, including:\n\n*   Sole Proprietor – Individual using legal name as business name that files a Schedule C, Schedule F, or has a fictitious business name or doing business as (DBA) statement\n    *   If the loan appears to be in the name of an individual, evidence of Sole Proprietorship will be required and may include a Schedule C, Schedule F, Seller’s Permit, and/or fictitious business name or DBA statement\n*   Limited Liability Company \n*   Cooperative\n*   Corporation\n*   Partnership\n*   S-Corporation\n*   Not-for-profit\n\nThe program will not accept an **individual** as the borrower. It is permissible for an individual to be a guarantor or co-borrower on the loan, but the primary borrower must be a small business. It does not consider citizenship or immigration status for eligibility requirements**,** as long as the entity/individual meets the above criteria. Trucking owners/operators are eligible as long as they are registered as a legal business entity.\n\n**AND**\n\n*   The business activity must be eligible under the program and in one of the industries listed in the [North American Industry Classification System (NAICS) codes list](http://www.census.gov/eos/www/naics), and\n*   It must be located in a declared disaster area. A major disaster area declaration was made for the state of California on March 22, 2020 in regards to the COVID-19 pandemic.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/	 	[]	false	[]	3
What are excluded businesses?	Businesses that are not eligible include passive real estate businesses (rental income, etc.).\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/	 	[]	false	[]	4
Can I apply for a loan guarantee if I am ineligible for federal disaster fund financing, such as a Small Business Administration (SBA) loan?	Yes, this program is designed for those who do not qualify for federal programs. \n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/	 	[]	false	[]	5
How much can I borrow?	The Small Business Finance Center’s Disaster Relief Loan Guarantee Program allows a maximum loan of $1.25 million and a maximum guarantee of $1 million. To serve as many California small businesses as possible, the COVID-19 disaster program is focused on serving small businesses, especially those in low-wealth and immigrant communities with needs from $500 to $50,000. \n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/	 	[]	false	[]	6
What are the loan terms?	The length of the loan can be negotiated with your lender, but the guarantee is good for up to seven years.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/	 	[]	false	[]	7
How can I apply for a loan guarantee?	The Small Business Finance Center partners with Community Development Financial Institutions, Community Lending Institutions, and Financial Development Corporations (FDCs) to provide loan guarantees for small businesses.  To apply,\n\n*   View the [list of participating lenders](https://www.ibank.ca.gov/small-business/loan-guarantees/) interested in this Small Business Disaster Relief Loan Guarantee Program. \n*   Contact the lender on the list nearest to your business to apply.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/	 	[]	false	[]	8
What is the timing for the funding of loans?	The program is in place and businesses can apply immediately. Once you provide your lender with complete information, you could be funded in a matter of days.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/	 	[]	false	[]	9
How will this program assist low-wealth and minority communities?	By working with the Community Development Financial Institutions (CDFIs) throughout the state of California, this disaster relief program can play an important role in generating economic growth and opportunity in some of our most distressed communities. CDFIs and mission-based lenders play a vital role across the state and have experience steering lending and investment to where it is needed and will matter the most, in particular in low-wealth and immigrant communities. CDFIs and our partner Financial Development Corporations (FDCs) that process the loan guarantees are embedded in communities across the state, speak several languages, and are invested in the community successfully managing its way through this pandemic.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/	 	[]	false	[]	10
Are faith-based businesses eligible for this loan guarantee program?	Faith-based businesses (non-profit or otherwise) that have business activity outside of worship are eligible as long as they are a legal business that has been affected by the COVID-19 pandemic.\n\nMore info: [Businesses and employers](https://covid19.ca.gov/business-and-employers/)	https://covid19.ca.gov/business-and-employers/	 	[]	false	[]	11
